Date,Price,Open,High,Low,Vol.,Change %
03/11/2024,12.8,12.76,12.91,12.6,,0.39%
03/08/2024,12.75,12.8,12.865,12.675,,0.00%
03/07/2024,12.75,12.75,12.8,12.65,,0.39%
03/06/2024,12.7,12.75,12.75,12.75,,0.00%
03/05/2024,12.7,12.75,12.81,12.685,,0.00%
03/04/2024,12.7,12.7,12.76,12.635,,0.40%
03/01/2024,12.65,12.65,12.725,12.525,,0.40%
02/29/2024,12.6,12.6,12.83,12.515,,0.40%
02/28/2024,12.55,12.57,12.625,12.54,,0.24%
02/27/2024,12.52,12.57,12.625,12.435,,0.00%
02/26/2024,12.52,12.5,12.595,12.49,,0.16%
02/23/2024,12.5,12.54,12.625,12.375,,0.00%
02/22/2024,12.5,12.54,12.56,12.375,,0.08%
02/21/2024,12.49,12.5,12.545,12.425,,0.08%
02/20/2024,12.48,12.495,12.525,12.425,,0.24%
02/19/2024,12.45,12.47,12.58,12.4125,,0.00%
02/16/2024,12.45,12.45,12.495,12.415,,0.40%
02/15/2024,12.4,12.45,12.5,12.3,,0.00%
02/14/2024,12.4,12.45,12.58,12.355,,0.00%
02/13/2024,12.4,12.45,12.46,12.355,,0.00%
02/12/2024,12.4,12.4175,12.46,12.32,,0.00%
02/09/2024,12.4,12.41,12.535,12.3,,0.32%
02/08/2024,12.36,12.41,12.44,12.275,,0.00%
02/07/2024,12.36,12.39,12.425,12.295,,0.16%
02/06/2024,12.34,12.37,12.49,12.275,,0.16%
02/05/2024,12.32,12.3475,12.4,12.275,,0.24%
02/02/2024,12.29,12.34,12.375,12.275,,0.00%
02/01/2024,12.29,12.34,12.44,12.225,,-0.08%
01/31/2024,12.3,12.34,12.375,12.275,,0.08%
01/30/2024,12.29,12.34,12.445,12.125,,-0.08%
01/29/2024,12.3,12.24,12.405,12.125,,0.08%
01/26/2024,12.29,12.185,12.4,12.075,,1.15%
01/25/2024,12.15,12.16,12.2,12.05,,0.41%
01/24/2024,12.1,12.1175,12.31,12,,0.50%
01/23/2024,12.04,12.1,12.2,12,,-0.08%
